ID,name,age,gender,score, Height, Weight,total_bill,tip,smoker,day,time,size,Date,Product,Category,Quantity,Price
129,Ali,16,M,80,67.13,124.04,20.65,3.35,No,Sat,Dinner,3,4/29/2023,Flour,Food,-1,300
110,Sara,30,F,,67.83,141.28,17.92,4.08,No,Sat,Dinner,2,3/30/2023,Bread,Food,3,300
111,Reza,22,M,85,68.88,143.54,20.29,2.75,No,Sat,Dinner,2,4/31/2023,Dough,Food,4,20
112,Niloofar,35,F,83.75,63.48,97.9,15.77,2.23,No,Sat,Dinner,2,5/1/2023,Bread,Food,1,1500
113,Ali,,M,80,68.42,129.5,39.42,7.58,No,Sat,Dinner,4,5/22/2023,Dough,Food,2,30
114,Sara,,F,90,67.63,141.85,19.82,3.18,No,Sat,Dinner,2,5/13/2023,Flour,,2,300
115,Reza,13,M,85,67.21,129.72,17.81,2.34,No,Sat,Dinner,4,5/24/2023,Bread,Food,,20
116,Niloofar,7,F,83.75,70.84,142.42,13.37,2,No,Sat,Dinner,2,5/15/2023,Dough,Food,1,1500
117,Ali,8,M,80,67.49,131.55,12.69,2,No,Sat,Dinner,2,5/6/2023,Bread,Food,2,300
118,Sara,9,F,,66.53,108.33,21.7,4.3,No,Sat,Dinner,2,5/17/2023,Dough,Food,3,30
119,Reza,40,M,85,65.44,113.89,19.65,3,No,Sat,Dinner,2,8/8/2023,Cakes,Food,1,1500
120,Niloofar,55,F,,69.52,103.3,9.55,1.45,No,Sat,Dinner,2,8/19/2023,Cakes,Food,-2,20
121,Ali,65,M,80,65.81,120.75,18.35,2.5,No,Sat,Dinner,4,8/10/2023,Flour,Food,1,300
122,Sara,78,F,90,67.82,125.79,15.06,3,No,Sat,Dinner,2,8/11/2023,Pies,Food,2,1500
123,Reza,90,M,85,70.6,136.22,20.69,2.45,No,Sat,Dinner,4,8/22/2023,Pies,Food,5,20
124,Niloofar,22,F,83.75,71.8,140.1,17.78,3.27,No,Sat,Dinner,2,9/13/2023,Pies,Food,,30
125,Ali,23,M,80,69.21,128.75,24.06,3.6,No,Sat,Dinner,3,9/14/2023,Flour,Food,-1,300
126,Sara,22,F,90,66.8,141.8,16.31,2,No,Sat,Dinner,3,9/15/2023,Pies,Food,3,300
127,,18,M,85,67.66,121.23,16.93,3.07,No,Sat,Dinner,3,9/16/2023,Bread,Food,4,20
128,Niloofar,19,F,,67.81,131.35,18.69,2.31,No,Sat,Dinner,3,10/17/2023,,Food,1,1500
129,Ali,16,M,80,64.05,106.71,31.27,5,No,Sat,Dinner,3,10/18/2023,Pies,Food,2,30
110,Sara,30,F,90,68.57,124.36,16.04,2.24,No,Sat,Dinner,3,1/1/2024,Laptop,Electronics,2,300
111,Reza,22,M,85,65.18,124.86,17.46,2.54,No,Sun,Dinner,2,1/5/2024,Mouse,Electronics,,20
112,Niloofar,35,F,83.75,69.66,139.67,13.94,3.06,No,Sun,Dinner,2,1/10/2024,Keyboard,Electronics,1,1500
113,Ali,,M,80,67.97,137.37,9.68,1.32,No,Sun,Dinner,2,1/15/2024,Monitor,Electronics,2,300
114,Sara,17,F,90,65.98,106.45,30.4,5.6,No,Sun,Dinner,4,1/20/2024,,Electronics,3,30
115,Reza,13,M,85,68.67,128.76,18.29,3,No,Sun,Dinner,2,2/1/2024,Mouse,Electronics,1,1500
116,Niloofar,7,F,,66.88,145.68,22.23,5,No,Sun,Dinner,2,2/3/2024,Laptop,Electronics,-2,20
117,Ali,8,M,80,67.7,116.82,32.4,6,No,Sun,Dinner,4,2/7/2024,Keyboard,Electronics,1,300
118,Sara,9,F,90,69.82,143.62,28.55,2.05,No,Sun,Dinner,3,2/10/2024,Monitor,Electronics,2,1500
119,Reza,,M,85,69.09,134.93,18.04,3,No,Sun,Dinner,2,2/14/2024,Mouse,Electronics,5,20
120,Niloofar,55,F,83.75,69.91,147.02,12.54,2.5,No,Sun,Dinner,2,3/1/2024,Laptop,Electronics,,30
121,,65,M,80,67.33,126.33,10.29,2.6,No,Sun,Dinner,2,3/5/2024,Monitor,Electronics,-1,300
122,Sara,78,F,,70.27,125.48,34.81,5.2,No,Sun,Dinner,4,3/10/2024,Keyboard,Electronics,3,300
123,Reza,90,M,85,69.1,115.71,9.94,1.56,No,Sun,Dinner,2,3/12/2024,Laptop,Electronics,4,20
124,Niloofar,22,F,83.75,65.38,123.49,25.56,4.34,No,Sun,Dinner,4,10/20/2024,Mouse,Electronics,1,1500
125,Ali,23,M,80,70.18,147.89,19.49,3.51,No,Sun,Dinner,2,3/25/2024,Monitor,,2,30
126,Sara,22,F,90,70.41,155.9,38.01,3,Yes,Sat,Dinner,4,3/26/2024,Cakes,Food,2,300
127,Reza,18,M,85,66.54,128.07,26.41,1.5,No,Sat,Dinner,2,4/27/2024,Cakes,Food,,20
128,Niloofar,19,F,,66.36,119.37,11.24,1.76,Yes,Sat,Dinner,2,3/28/2024,Flour,Food,1,1500
129,Ali,16,M,80,67.54,133.81,48.27,6.73,No,Sat,Dinner,4,4/29/2024,Flour,Food,2,300
110,Sara,,F,90,66.5,128.73,20.29,3.21,Yes,Sat,Dinner,2,3/30/2024,Bread,Food,3,30
111,Reza,22,M,85,69,137.55,13.81,2,Yes,Sat,Dinner,2,4/31/2024,Dough,Food,1,1500
112,,35,F,83.75,68.3,129.76,11.02,1.98,Yes,Sat,Dinner,2,5/1/2024,Bread,Food,-2,20
113,Ali,,M,80,67.01,128.82,18.29,3.76,Yes,Sat,Dinner,4,5/22/2024,Dough,Food,1,300
114,Sara,17,F,90,70.81,135.32,17.59,2.64,No,Sat,Dinner,3,5/13/2024,Flour,,2,1500
115,Reza,13,M,85,68.22,109.61,20.08,3.15,No,Sat,Dinner,3,5/24/2024,Bread,Food,5,20
116,Niloofar,7,F,83.75,69.06,142.47,16.45,2.47,No,Sat,Dinner,2,5/15/2024,Dough,Food,,30
117,Ali,8,M,80,67.73,132.75,3.07,1,Yes,Sat,Dinner,1,5/6/2024,Bread,Food,-1,300
118,Sara,9,F,,67.22,103.53,20.23,2.01,No,Sat,Dinner,2,5/17/2024,Dough,Food,3,300
119,Reza,40,M,85,67.37,124.73,15.01,2.09,Yes,Sat,Dinner,2,8/8/2024,Cakes,Food,4,20
120,Niloofar,,F,83.75,65.27,129.31,12.02,1.97,No,Sat,Dinner,2,8/19/2024,Cakes,Food,1,1500
121,Ali,65,M,80,70.84,134.02,17.07,3,No,Sat,Dinner,3,8/10/2024,Flour,Food,2,30
122,Sara,78,F,90,69.92,140.4,26.86,3.14,Yes,Sat,Dinner,2,8/11/2024,Pies,Food,2,300
123,Reza,90,M,85,64.29,102.84,25.28,5,Yes,Sat,Dinner,2,8/22/2024,Pies,Food,,20
124,Niloofar,22,F,83.75,68.25,128.52,14.73,2.2,No,Sat,Dinner,2,9/13/2024,Pies,Food,1,1500
125,Ali,23,M,80,66.36,120.3,10.51,1.25,No,Sat,Dinner,2,9/14/2024,Flour,Food,2,300
126,,22,F,,68.36,138.6,17.92,3.08,Yes,Sat,Dinner,2,9/15/2024,Pies,Food,3,30
127,Reza,18,M,85,65.48,132.96,27.2,4,No,Thur,Lunch,4,9/16/2024,Bread,Food,1,1500
128,Niloofar,19,F,83.75,69.72,115.62,22.76,3,No,Thur,Lunch,2,10/17/2024,,Food,-2,20
129,Ali,16,M,80,67.73,122.52,17.29,2.71,No,Thur,Lunch,2,10/18/2024,Pies,Food,1,300
110,Sara,30,F,90,68.64,134.63,19.44,3,Yes,Thur,Lunch,2,1/1/2023,Laptop,Electronics,2,1500
111,Reza,22,M,85,66.78,121.9,16.66,3.4,No,Thur,Lunch,2,1/5/2023,Mouse,Electronics,5,20
112,Niloofar,35,F,,70.05,155.38,10.07,1.83,No,Thur,Lunch,1,1/10/2023,Keyboard,Electronics,,30
113,Ali,,M,80,66.28,128.94,32.68,5,Yes,Thur,Lunch,2,1/15/2023,Monitor,Electronics,-1,300
114,Sara,17,F,90,69.2,129.1,15.98,2.03,No,Thur,Lunch,2,1/20/2023,,Electronics,3,300
115,Reza,13,M,85,69.13,139.47,34.83,5.17,No,Thur,Lunch,4,2/1/2023,Mouse,Electronics,4,20
116,,7,F,83.75,67.36,140.89,13.03,2,No,Thur,Lunch,2,2/3/2023,Laptop,Electronics,1,1500
117,Ali,8,M,80,70.09,131.59,18.28,4,No,Thur,Lunch,2,2/7/2023,Keyboard,Electronics,2,30
118,Sara,9,F,90,70.18,121.12,24.71,5.85,No,Thur,Lunch,2,2/10/2023,Monitor,Electronics,2,300
119,Reza,40,M,85,68.23,131.51,21.16,3,No,Thur,Lunch,2,2/14/2023,Mouse,Electronics,,20
120,Niloofar,55,F,83.75,68.13,136.55,28.97,3,Yes,Fri,Dinner,2,3/1/2023,Laptop,Electronics,1,1500
121,Ali,65,M,80,70.24,141.49,22.49,3.5,No,Fri,Dinner,2,3/5/2023,Monitor,Electronics,2,300
122,Sara,,F,90,71.49,140.61,5.75,1,Yes,Fri,Dinner,2,3/10/2023,Keyboard,Electronics,3,30
123,Reza,90,M,85,69.2,112.14,16.32,4.3,Yes,Fri,Dinner,2,3/12/2023,Laptop,Electronics,1,1500
124,Niloofar,22,F,83.75,70.06,133.46,22.75,3.25,No,Fri,Dinner,2,10/20/2023,Mouse,Electronics,-2,20
125,,23,M,80,70.56,131.8,40.17,4.73,Yes,Fri,Dinner,4,3/25/2023,Monitor,,1,300
126,Sara,22,F,90,66.29,120.03,27.28,4,Yes,Fri,Dinner,2,3/26/2023,Cakes,Food,2,1500
127,Reza,18,M,85,63.43,123.1,12.03,1.5,Yes,Fri,Dinner,2,4/27/2023,Cakes,Food,5,20
128,Niloofar,19,F,,66.77,128.14,21.01,3,Yes,Fri,Dinner,2,3/28/2023,Flour,Food,,30
129,Ali,,M,80,68.89,115.48,12.46,1.5,No,Fri,Dinner,2,4/29/2023,Flour,Food,-1,300
112,Niloofar,35,F,83.75,69.4,153.03,21.01,3.5,No,Sun,Dinner,3,1/10/2023,Keyboard,Electronics,,30
113,Ali,,M,80,68.22,142.34,23.68,3.31,No,Sun,Dinner,2,1/15/2023,Monitor,Electronics,-1,300
114,Sara,,F,90,67.79,144.3,24.59,3.61,No,Sun,Dinner,4,1/20/2023,,Electronics,3,300
115,Reza,13,M,85,68.7,123.3,25.29,4.71,No,Sun,Dinner,4,2/1/2023,Mouse,Electronics,4,20
116,Niloofar,7,F,,69.8,141.49,8.77,2,No,Sun,Dinner,2,2/3/2023,Laptop,Electronics,1,1500
117,Ali,8,M,80,70.01,136.46,26.88,3.12,No,Sun,Dinner,4,2/7/2023,Keyboard,Electronics,2,30
118,Sara,9,F,,67.9,112.37,15.04,1.96,No,Sun,Dinner,2,2/10/2023,Monitor,Electronics,2,300
119,,40,M,85,66.78,120.67,14.78,3.23,No,Sun,Dinner,2,2/14/2023,Mouse,Electronics,,20
120,Niloofar,55,F,,66.49,127.45,10.27,1.71,No,Sun,Dinner,2,3/1/2023,Laptop,Electronics,1,1500
121,Ali,65,M,80,67.62,114.14,35.26,5,No,Sun,Dinner,4,3/5/2023,Monitor,Electronics,2,300
122,Sara,78,F,,68.3,125.61,15.42,1.57,No,Sun,Dinner,2,3/10/2023,Keyboard,Electronics,3,30
123,Reza,90,M,85,67.12,122.46,18.43,3,No,Sun,Dinner,4,3/12/2023,Laptop,Electronics,1,1500
124,Niloofar,22,F,,68.28,116.09,14.83,3.02,No,Sun,Dinner,2,10/20/2023,Mouse,Electronics,-2,20
125,Ali,23,M,80,71.09,140,21.58,3.92,No,Sun,Dinner,2,3/25/2023,Monitor,,1,300
126,Sara,22,F,90,66.46,129.5,10.33,1.67,No,Sun,Dinner,3,3/26/2023,Cakes,Food,2,1500
127,Reza,18,M,85,68.65,142.97,16.29,3.71,No,Sun,Dinner,3,4/27/2023,Cakes,Food,5,20
128,Niloofar,19,F,,71.23,137.9,16.97,3.5,No,Sun,Dinner,3,3/28/2023,Flour,Food,,30
129,Ali,16,M,80,67.13,124.04,20.65,3.35,No,Sat,Dinner,3,4/29/2023,Flour,Food,-1,300
110,Sara,30,F,,67.83,141.28,17.92,4.08,No,Sat,Dinner,2,3/30/2023,Bread,Food,3,300
111,Reza,22,M,85,68.88,143.54,20.29,2.75,No,Sat,Dinner,2,4/31/2023,Dough,Food,4,20
112,Niloofar,35,F,83.75,63.48,97.9,15.77,2.23,No,Sat,Dinner,2,5/1/2023,Bread,Food,1,1500
113,Ali,,M,80,68.42,129.5,39.42,7.58,No,Sat,Dinner,4,5/22/2023,Dough,Food,2,30
114,Sara,,F,90,67.63,141.85,19.82,3.18,No,Sat,Dinner,2,5/13/2023,Flour,,2,300
115,Reza,13,M,85,67.21,129.72,17.81,2.34,No,Sat,Dinner,4,5/24/2023,Bread,Food,,20
116,Niloofar,7,F,83.75,70.84,142.42,13.37,2,No,Sat,Dinner,2,5/15/2023,Dough,Food,1,1500
117,Ali,8,M,80,67.49,131.55,12.69,2,No,Sat,Dinner,2,5/6/2023,Bread,Food,2,300
118,Sara,9,F,,66.53,108.33,21.7,4.3,No,Sat,Dinner,2,5/17/2023,Dough,Food,3,30
119,Reza,40,M,85,65.44,113.89,19.65,3,No,Sat,Dinner,2,8/8/2023,Cakes,Food,1,1500
120,Niloofar,55,F,,69.52,103.3,9.55,1.45,No,Sat,Dinner,2,8/19/2023,Cakes,Food,-2,20
121,Ali,65,M,80,65.81,120.75,18.35,2.5,No,Sat,Dinner,4,8/10/2023,Flour,Food,1,300
122,Sara,78,F,90,67.82,125.79,15.06,3,No,Sat,Dinner,2,8/11/2023,Pies,Food,2,1500
123,Reza,90,M,85,70.6,136.22,20.69,2.45,No,Sat,Dinner,4,8/22/2023,Pies,Food,5,20
124,Niloofar,22,F,83.75,71.8,140.1,17.78,3.27,No,Sat,Dinner,2,9/13/2023,Pies,Food,,30
125,Ali,23,M,80,69.21,128.75,24.06,3.6,No,Sat,Dinner,3,9/14/2023,Flour,Food,-1,300
126,Sara,22,F,90,66.8,141.8,16.31,2,No,Sat,Dinner,3,9/15/2023,Pies,Food,3,300
127,,18,M,85,67.66,121.23,16.93,3.07,No,Sat,Dinner,3,9/16/2023,Bread,Food,4,20
128,Niloofar,19,F,,67.81,131.35,18.69,2.31,No,Sat,Dinner,3,10/17/2023,,Food,1,1500
129,Ali,16,M,80,64.05,106.71,31.27,5,No,Sat,Dinner,3,10/18/2023,Pies,Food,2,30
110,Sara,30,F,90,68.57,124.36,16.04,2.24,No,Sat,Dinner,3,1/1/2024,Laptop,Electronics,2,300
111,Reza,22,M,85,65.18,124.86,17.46,2.54,No,Sun,Dinner,2,1/5/2024,Mouse,Electronics,,20
112,Niloofar,35,F,83.75,69.66,139.67,13.94,3.06,No,Sun,Dinner,2,1/10/2024,Keyboard,Electronics,1,1500
113,Ali,,M,80,67.97,137.37,9.68,1.32,No,Sun,Dinner,2,1/15/2024,Monitor,Electronics,2,300
114,Sara,17,F,90,65.98,106.45,30.4,5.6,No,Sun,Dinner,4,1/20/2024,,Electronics,3,30
115,Reza,13,M,85,68.67,128.76,18.29,3,No,Sun,Dinner,2,2/1/2024,Mouse,Electronics,1,1500
116,Niloofar,7,F,,66.88,145.68,22.23,5,No,Sun,Dinner,2,2/3/2024,Laptop,Electronics,-2,20
117,Ali,8,M,80,67.7,116.82,32.4,6,No,Sun,Dinner,4,2/7/2024,Keyboard,Electronics,1,300
118,Sara,9,F,90,69.82,143.62,28.55,2.05,No,Sun,Dinner,3,2/10/2024,Monitor,Electronics,2,1500
119,Reza,,M,85,69.09,134.93,18.04,3,No,Sun,Dinner,2,2/14/2024,Mouse,Electronics,5,20
120,Niloofar,55,F,83.75,69.91,147.02,12.54,2.5,No,Sun,Dinner,2,3/1/2024,Laptop,Electronics,,30
112,Niloofar,35,F,83.75,69.4,153.03,21.01,3.5,No,Sun,Dinner,3,1/10/2023,Keyboard,Electronics,,30
113,Ali,,M,80,68.22,142.34,23.68,3.31,No,Sun,Dinner,2,1/15/2023,Monitor,Electronics,-1,300
114,Sara,,F,90,67.79,144.3,24.59,3.61,No,Sun,Dinner,4,1/20/2023,,Electronics,3,300
115,Reza,13,M,85,68.7,123.3,25.29,4.71,No,Sun,Dinner,4,2/1/2023,Mouse,Electronics,4,20
116,Niloofar,7,F,,69.8,141.49,8.77,2,No,Sun,Dinner,2,2/3/2023,Laptop,Electronics,1,1500
117,Ali,8,M,80,70.01,136.46,26.88,3.12,No,Sun,Dinner,4,2/7/2023,Keyboard,Electronics,2,30
118,Sara,9,F,,67.9,112.37,15.04,1.96,No,Sun,Dinner,2,2/10/2023,Monitor,Electronics,2,300
119,,40,M,85,66.78,120.67,14.78,3.23,No,Sun,Dinner,2,2/14/2023,Mouse,Electronics,,20
120,Niloofar,55,F,,66.49,127.45,10.27,1.71,No,Sun,Dinner,2,3/1/2023,Laptop,Electronics,1,1500
121,Ali,65,M,80,67.62,114.14,35.26,5,No,Sun,Dinner,4,3/5/2023,Monitor,Electronics,2,300
122,Sara,78,F,,68.3,125.61,15.42,1.57,No,Sun,Dinner,2,3/10/2023,Keyboard,Electronics,3,30
123,Reza,90,M,85,67.12,122.46,18.43,3,No,Sun,Dinner,4,3/12/2023,Laptop,Electronics,1,1500
124,Niloofar,22,F,,68.28,116.09,14.83,3.02,No,Sun,Dinner,2,10/20/2023,Mouse,Electronics,-2,20
125,Ali,23,M,80,71.09,140,21.58,3.92,No,Sun,Dinner,2,3/25/2023,Monitor,,1,300
126,Sara,22,F,90,66.46,129.5,10.33,1.67,No,Sun,Dinner,3,3/26/2023,Cakes,Food,2,1500
127,Reza,18,M,85,68.65,142.97,16.29,3.71,No,Sun,Dinner,3,4/27/2023,Cakes,Food,5,20
128,Niloofar,19,F,,71.23,137.9,16.97,3.5,No,Sun,Dinner,3,3/28/2023,Flour,Food,,30
129,Ali,16,M,80,67.13,124.04,20.65,3.35,No,Sat,Dinner,3,4/29/2023,Flour,Food,-1,300
110,Sara,30,F,,67.83,141.28,17.92,4.08,No,Sat,Dinner,2,3/30/2023,Bread,Food,3,300
111,Reza,22,M,85,68.88,143.54,20.29,2.75,No,Sat,Dinner,2,4/31/2023,Dough,Food,4,20
112,Niloofar,35,F,83.75,63.48,97.9,15.77,2.23,No,Sat,Dinner,2,5/1/2023,Bread,Food,1,1500
113,Ali,,M,80,68.42,129.5,39.42,7.58,No,Sat,Dinner,4,5/22/2023,Dough,Food,2,30
114,Sara,,F,90,67.63,141.85,19.82,3.18,No,Sat,Dinner,2,5/13/2023,Flour,,2,300
115,Reza,13,M,85,67.21,129.72,17.81,2.34,No,Sat,Dinner,4,5/24/2023,Bread,Food,,20
116,Niloofar,7,F,83.75,70.84,142.42,13.37,2,No,Sat,Dinner,2,5/15/2023,Dough,Food,1,1500
117,Ali,8,M,80,67.49,131.55,12.69,2,No,Sat,Dinner,2,5/6/2023,Bread,Food,2,300
118,Sara,9,F,,66.53,108.33,21.7,4.3,No,Sat,Dinner,2,5/17/2023,Dough,Food,3,30
119,Reza,40,M,85,65.44,113.89,19.65,3,No,Sat,Dinner,2,8/8/2023,Cakes,Food,1,1500
120,Niloofar,55,F,,69.52,103.3,9.55,1.45,No,Sat,Dinner,2,8/19/2023,Cakes,Food,-2,20
121,Ali,65,M,80,65.81,120.75,18.35,2.5,No,Sat,Dinner,4,8/10/2023,Flour,Food,1,300
122,Sara,78,F,90,67.82,125.79,15.06,3,No,Sat,Dinner,2,8/11/2023,Pies,Food,2,1500
123,Reza,90,M,85,70.6,136.22,20.69,2.45,No,Sat,Dinner,4,8/22/2023,Pies,Food,5,20
124,Niloofar,22,F,83.75,71.8,140.1,17.78,3.27,No,Sat,Dinner,2,9/13/2023,Pies,Food,,30
125,Ali,23,M,80,69.21,128.75,24.06,3.6,No,Sat,Dinner,3,9/14/2023,Flour,Food,-1,300
126,Sara,22,F,90,66.8,141.8,16.31,2,No,Sat,Dinner,3,9/15/2023,Pies,Food,3,300
127,,18,M,85,67.66,121.23,16.93,3.07,No,Sat,Dinner,3,9/16/2023,Bread,Food,4,20
128,Niloofar,19,F,,67.81,131.35,18.69,2.31,No,Sat,Dinner,3,10/17/2023,,Food,1,1500
129,Ali,16,M,80,64.05,106.71,31.27,5,No,Sat,Dinner,3,10/18/2023,Pies,Food,2,30
110,Sara,30,F,90,68.57,124.36,16.04,2.24,No,Sat,Dinner,3,1/1/2024,Laptop,Electronics,2,300
111,Reza,22,M,85,65.18,124.86,17.46,2.54,No,Sun,Dinner,2,1/5/2024,Mouse,Electronics,,20
112,Niloofar,35,F,83.75,69.66,139.67,13.94,3.06,No,Sun,Dinner,2,1/10/2024,Keyboard,Electronics,1,1500
113,Ali,,M,80,67.97,137.37,9.68,1.32,No,Sun,Dinner,2,1/15/2024,Monitor,Electronics,2,300
114,Sara,17,F,90,65.98,106.45,30.4,5.6,No,Sun,Dinner,4,1/20/2024,,Electronics,3,30
115,Reza,13,M,85,68.67,128.76,18.29,3,No,Sun,Dinner,2,2/1/2024,Mouse,Electronics,1,1500
116,Niloofar,7,F,,66.88,145.68,22.23,5,No,Sun,Dinner,2,2/3/2024,Laptop,Electronics,-2,20
117,Ali,8,M,80,67.7,116.82,32.4,6,No,Sun,Dinner,4,2/7/2024,Keyboard,Electronics,1,300
118,Sara,9,F,90,69.82,143.62,28.55,2.05,No,Sun,Dinner,3,2/10/2024,Monitor,Electronics,2,1500
119,Reza,,M,85,69.09,134.93,18.04,3,No,Sun,Dinner,2,2/14/2024,Mouse,Electronics,5,20
120,Niloofar,55,F,83.75,69.91,147.02,12.54,2.5,No,Sun,Dinner,2,3/1/2024,Laptop,Electronics,,30
117,Ali,8,M,80,67.7,116.82,32.4,6,No,Sun,Dinner,4,2/7/2024,Keyboard,Electronics,1,300
118,Sara,9,F,90,69.82,143.62,28.55,2.05,No,Sun,Dinner,3,2/10/2024,Monitor,Electronics,2,1500

